"Time","TTI 0.95"
2024-04-24 20:10:00,149 ms
2024-04-24 20:12:00,149 ms
2024-04-24 20:14:00,149 ms
2024-04-24 20:16:00,148 ms
2024-04-24 20:18:00,148 ms
2024-04-24 20:20:00,147 ms
2024-04-24 20:22:00,147 ms
2024-04-24 20:24:00,147 ms
2024-04-24 20:26:00,147 ms
2024-04-24 20:28:00,147 ms
2024-04-24 20:30:00,147 ms
2024-04-24 20:32:00,147 ms
2024-04-24 20:34:00,146 ms
2024-04-24 20:36:00,147 ms
2024-04-24 20:38:00,147 ms
2024-04-24 20:40:00,148 ms
2024-04-24 20:42:00,148 ms
2024-04-24 20:44:00,148 ms
2024-04-24 20:46:00,149 ms
2024-04-24 20:48:00,149 ms
2024-04-24 20:50:00,150 ms
2024-04-24 20:52:00,149 ms
2024-04-24 20:54:00,150 ms
2024-04-24 20:56:00,149 ms
2024-04-24 20:58:00,149 ms
2024-04-24 21:00:00,148 ms
2024-04-24 21:02:00,149 ms
2024-04-24 21:04:00,149 ms
2024-04-24 21:06:00,149 ms
2024-04-24 21:08:00,149 ms
2024-04-24 21:10:00,150 ms
2024-04-24 21:12:00,151 ms
2024-04-24 21:14:00,151 ms
2024-04-24 21:16:00,150 ms
2024-04-24 21:18:00,151 ms
2024-04-24 21:20:00,151 ms
2024-04-24 21:22:00,151 ms
2024-04-24 21:24:00,150 ms
2024-04-24 21:26:00,151 ms
2024-04-24 21:28:00,151 ms
2024-04-24 21:30:00,151 ms
2024-04-24 21:32:00,150 ms
2024-04-24 21:34:00,150 ms
2024-04-24 21:36:00,150 ms
2024-04-24 21:38:00,149 ms
2024-04-24 21:40:00,149 ms
2024-04-24 21:42:00,150 ms
2024-04-24 21:44:00,150 ms
2024-04-24 21:46:00,149 ms
2024-04-24 21:48:00,150 ms
2024-04-24 21:50:00,150 ms
2024-04-24 21:52:00,150 ms
2024-04-24 21:54:00,149 ms
2024-04-24 21:56:00,149 ms
2024-04-24 21:58:00,148 ms
2024-04-24 22:00:00,149 ms
2024-04-24 22:02:00,149 ms
2024-04-24 22:04:00,149 ms
2024-04-24 22:06:00,149 ms
2024-04-24 22:08:00,148 ms
2024-04-24 22:10:00,148 ms
2024-04-24 22:12:00,147 ms
2024-04-24 22:14:00,148 ms
2024-04-24 22:16:00,148 ms
2024-04-24 22:18:00,148 ms
2024-04-24 22:20:00,148 ms
2024-04-24 22:22:00,147 ms
2024-04-24 22:24:00,148 ms
2024-04-24 22:26:00,148 ms
2024-04-24 22:28:00,147 ms
2024-04-24 22:30:00,147 ms
2024-04-24 22:32:00,147 ms
2024-04-24 22:34:00,147 ms
2024-04-24 22:36:00,147 ms
2024-04-24 22:38:00,147 ms
2024-04-24 22:40:00,147 ms
2024-04-24 22:42:00,147 ms
2024-04-24 22:44:00,147 ms
2024-04-24 22:46:00,146 ms
2024-04-24 22:48:00,147 ms
2024-04-24 22:50:00,146 ms
2024-04-24 22:52:00,146 ms
2024-04-24 22:54:00,145 ms
2024-04-24 22:56:00,145 ms
2024-04-24 22:58:00,145 ms
2024-04-24 23:00:00,146 ms
2024-04-24 23:02:00,146 ms
2024-04-24 23:04:00,146 ms
2024-04-24 23:06:00,147 ms
2024-04-24 23:08:00,146 ms
2024-04-24 23:10:00,146 ms
2024-04-24 23:12:00,145 ms
2024-04-24 23:14:00,145 ms
2024-04-24 23:16:00,145 ms
2024-04-24 23:18:00,145 ms
2024-04-24 23:20:00,145 ms
2024-04-24 23:22:00,145 ms
2024-04-24 23:24:00,146 ms
2024-04-24 23:26:00,145 ms
2024-04-24 23:28:00,145 ms
2024-04-24 23:30:00,145 ms
2024-04-24 23:32:00,145 ms
2024-04-24 23:34:00,145 ms
2024-04-24 23:36:00,145 ms
2024-04-24 23:38:00,146 ms
2024-04-24 23:40:00,145 ms
2024-04-24 23:42:00,145 ms
2024-04-24 23:44:00,145 ms
2024-04-24 23:46:00,146 ms
2024-04-24 23:48:00,146 ms
2024-04-24 23:50:00,146 ms
2024-04-24 23:52:00,145 ms
2024-04-24 23:54:00,146 ms
2024-04-24 23:56:00,145 ms
2024-04-24 23:58:00,146 ms
2024-04-25 00:00:00,145 ms
2024-04-25 00:02:00,145 ms
2024-04-25 00:04:00,146 ms
2024-04-25 00:06:00,146 ms
2024-04-25 00:08:00,147 ms
2024-04-25 00:10:00,147 ms
2024-04-25 00:12:00,147 ms
2024-04-25 00:14:00,147 ms
2024-04-25 00:16:00,147 ms
2024-04-25 00:18:00,147 ms
2024-04-25 00:20:00,147 ms
2024-04-25 00:22:00,147 ms
2024-04-25 00:24:00,147 ms
2024-04-25 00:26:00,146 ms
2024-04-25 00:28:00,146 ms
2024-04-25 00:30:00,146 ms
2024-04-25 00:32:00,146 ms
2024-04-25 00:34:00,146 ms
2024-04-25 00:36:00,146 ms
2024-04-25 00:38:00,146 ms
2024-04-25 00:40:00,146 ms
2024-04-25 00:42:00,146 ms
2024-04-25 00:44:00,146 ms
2024-04-25 00:46:00,146 ms
2024-04-25 00:48:00,146 ms
2024-04-25 00:50:00,146 ms
2024-04-25 00:52:00,145 ms
2024-04-25 00:54:00,145 ms
2024-04-25 00:56:00,145 ms
2024-04-25 00:58:00,146 ms
2024-04-25 01:00:00,146 ms
2024-04-25 01:02:00,146 ms
2024-04-25 01:04:00,147 ms
2024-04-25 01:06:00,147 ms
2024-04-25 01:08:00,147 ms
2024-04-25 01:10:00,147 ms
2024-04-25 01:12:00,147 ms
2024-04-25 01:14:00,146 ms
2024-04-25 01:16:00,146 ms
2024-04-25 01:18:00,146 ms
2024-04-25 01:20:00,146 ms
2024-04-25 01:22:00,146 ms
2024-04-25 01:24:00,146 ms
2024-04-25 01:26:00,146 ms
2024-04-25 01:28:00,146 ms
2024-04-25 01:30:00,146 ms
2024-04-25 01:32:00,146 ms
2024-04-25 01:34:00,146 ms
2024-04-25 01:36:00,145 ms
2024-04-25 01:38:00,146 ms
2024-04-25 01:40:00,146 ms
2024-04-25 01:42:00,146 ms
